header,header
ставам,To wake up
влизам,To enter
вземам,To take
правя,To do
закусвам,To eat breakfast
излизам,To leave/go out
започвам,to begin
обядвам,To eat lunch
завършвам,To finish
затварям,To close
срещам,To meet
пазарувам,To buy/shop
връщам,To return
вечерям,To eat dinner
гледам,To watch
чета,To read
пиша,To write
лягам,To lie down
спя,To sleep
помня,To remember
забравям,To forget
търся,To search
намирам,To find
искам,To want
включвам,To turn on
изключвам,To turn off
отварям,To open
отключвам,To lock
заключвам,To unlock
виждам,To see
слушам,To listen
чувам,To hear
разбирам,To understand
питам,To ask
обичам,To love
харесвам,To like
целувам,To kiss
прегръщам,To hug
каня,To invite
купувам,to buy
живея,to live
отивам,to go
трягвам,to start
идвам,to come
мисля,to think
чакам,to wait
трябвам,to need
